CAEMP25N Total full-time and part-time employment by NAICS industry 1/
CAEMP25N Total full-time and part-time employment by NAICS industry 1/
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2012
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2012,"        Local government",43232
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,Employment by place of work,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",10,Total employment (number of jobs),476646
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,By type,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",20,"  Wage and salary employment",386328
10740,"Albuquerque, NM (Metropolitan Statistical Area)",40,"  Proprietors employment",90318
10740,"Albuquerque, NM (Metropolitan Statistical Area)",50,"    Farm proprietors employment",3698
10740,"Albuquerque, NM (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",86620
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,By industry,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",70,"  Farm employment",4269
10740,"Albuquerque, NM (Metropolitan Statistical Area)",80,"  Nonfarm employment",472377
10740,"Albuquerque, NM (Metropolitan Statistical Area)",90,"    Private nonfarm employment",385188
10740,"Albuquerque, NM (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",300,"      Utilities",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",400,"      Construction",25922
10740,"Albuquerque, NM (Metropolitan Statistical Area)",500,"      Manufacturing",19986
10740,"Albuquerque, NM (Metropolitan Statistical Area)",600,"      Wholesale trade",14079
10740,"Albuquerque, NM (Metropolitan Statistical Area)",700,"      Retail trade",49806
10740,"Albuquerque, NM (Metropolitan Statistical Area)",800,"      Transportation and warehousing",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",900,"      Information",10570
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1000,"      Finance and insurance",19054
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",19057
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",3595
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1500,"      Educational services",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1600,"      Health care and social assistance",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1800,"      Accommodation and food services",(D)
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",24217
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2000,"    Government and government enterprises",87189
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2001,"      Federal civilian",15234
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2002,"      Military",6182
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2010,"      State and local",65773
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2011,"        State government",24795
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2012,"        Local government",40978
10780,"Alexandria, LA (Metropolitan Statistical Area)",,Employment by place of work,
10780,"Alexandria, LA (Metropolitan Statistical Area)",10,Total employment (number of jobs),81062
10780,"Alexandria, LA (Metropolitan Statistical Area)",,By type,
10780,"Alexandria, LA (Metropolitan Statistical Area)",20,"  Wage and salary employment",65823
10780,"Alexandria, LA (Metropolitan Statistical Area)",40,"  Proprietors employment",15239
10780,"Alexandria, LA (Metropolitan Statistical Area)",50,"    Farm proprietors employment",921
10780,"Alexandria, LA (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",14318
10780,"Alexandria, LA (Metropolitan Statistical Area)",,By industry,
10780,"Alexandria, LA (Metropolitan Statistical Area)",70,"  Farm employment",1342
10780,"Alexandria, LA (Metropolitan Statistical Area)",80,"  Nonfarm employment",79720
10780,"Alexandria, LA (Metropolitan Statistical Area)",90,"    Private nonfarm employment",64915
10780,"Alexandria, LA (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",740
